chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
205000,2050000000,28538279,10644061,0 days 02:42:19.284713,5.87
206000,2060000000,28636967,10659294,0 days 02:42:58.540143,5.88
207000,2070000000,28744169,10675551,0 days 02:43:43.087520,5.9
208000,2080000000,28851960,10691424,0 days 02:44:24.940678,5.91
209000,2090000000,28950953,10706274,0 days 02:45:04.775127,5.92
210000,2100000000,29044572,10722130,0 days 02:45:45.788796,5.94
211000,2110000000,29149891,10737902,0 days 02:46:27.163769,5.95
212000,2120000000,29241294,10753315,0 days 02:47:09.220390,5.96
213000,2130000000,29314873,10767487,0 days 02:47:47.262632,5.97
214000,2140000000,29390662,10781317,0 days 02:48:26.997967,5.98
215000,2150000000,29464265,10795413,0 days 02:49:04.604560,5.99
216000,2160000000,29531928,10809454,0 days 02:49:41.282592,6.0
217000,2170000000,29602684,10824217,0 days 02:50:19.558093,6.01
218000,2180000000,29667168,10838014,0 days 02:50:54.901434,6.02
219000,2190000000,29730840,10851602,0 days 02:51:31.526442,6.03
220000,2200000000,29790125,10865113,0 days 02:52:07.181379,6.03
221000,2210000000,29867658,10879339,0 days 02:52:44.461750,6.04
222000,2220000000,29993546,10893801,0 days 02:53:23.968312,6.06
223000,2230000000,30067111,10907374,0 days 02:54:01.468865,6.07
224000,2240000000,30142581,10921573,0 days 02:54:39.207939,6.08
225000,2250000000,30217219,10935849,0 days 02:55:18.776650,6.09
226000,2260000000,30294672,10950532,0 days 02:55:57.861084,6.1
227000,2270000000,30386218,10965804,0 days 02:56:36.596561,6.15
228000,2280000000,30467985,10980463,0 days 02:57:14.106997,6.13
229000,2290000000,30542148,10995335,0 days 02:57:52.496510,6.14
230000,2300000000,30619943,11009553,0 days 02:58:29.690069,6.14
231000,2310000000,30702244,11024372,0 days 02:59:06.722599,6.16
232000,2320000000,30794558,11040235,0 days 02:59:48.191587,6.17
233000,2330000000,30883874,11055759,0 days 03:00:27.486858,6.18
234000,2340000000,30998320,11071590,0 days 03:01:09.110327,6.2
235000,2350000000,31090778,11087473,0 days 03:01:51.494183,7.55
236000,2360000000,31176326,11102393,0 days 03:02:29.570634,7.56
237000,2370000000,31287066,11118002,0 days 03:03:08.102029,7.58
238000,2380000000,31388007,11133985,0 days 03:03:47.273386,7.59
239000,2390000000,31510478,11149205,0 days 03:04:25.287867,7.61
240000,2400000000,31620457,11164096,0 days 03:05:03.232275,7.63
241000,2410000000,31729427,11179742,0 days 03:05:43.714969,7.64
242000,2420000000,31839113,11195256,0 days 03:06:22.765282,7.66
243000,2430000000,31941406,11210349,0 days 03:07:01.620741,7.67
244000,2440000000,32057753,11226220,0 days 03:07:42.882579,7.69
245000,2450000000,32173667,11242296,0 days 03:08:21.176142,7.7
246000,2460000000,32274433,11258079,0 days 03:08:59.991729,7.74
247000,2470000000,32372658,11273516,0 days 03:09:37.451335,7.72
248000,2480000000,32492800,11288247,0 days 03:10:15.045521,7.74
249000,2490000000,32611739,11302798,0 days 03:10:54.033618,7.76
250000,2500000000,32741079,11317164,0 days 03:11:36.019997,7.77
251000,2510000000,32878917,11332127,0 days 03:12:16.068601,7.79
252000,2520000000,32983328,11347796,0 days 03:12:53.969530,7.81
253000,2530000000,33087708,11363214,0 days 03:13:32.203762,7.82
254000,2540000000,33185994,11377856,0 days 03:14:09.779179,7.84
255000,2550000000,33281882,11392205,0 days 03:14:47.012381,7.85
256000,2560000000,33365380,11406619,0 days 03:15:25.751111,7.85
257000,2570000000,33459463,11420499,0 days 03:16:06.194613,7.87
258000,2580000000,33556503,11434623,0 days 03:16:43.601781,7.88
259000,2590000000,33740151,11449541,0 days 03:17:22.914747,7.9
260000,2600000000,33883692,11464365,0 days 03:18:02.689556,7.92
261000,2610000000,34008290,11478962,0 days 03:18:43.096747,7.94
262000,2620000000,34087990,11493365,0 days 03:19:22.342955,7.95
263000,2630000000,34180543,11507681,0 days 03:20:01.940629,7.96
264000,2640000000,34289562,11522301,0 days 03:20:40.280493,7.98
265000,2650000000,34390935,11536382,0 days 03:21:18.156627,7.99
266000,2660000000,34498645,11550809,0 days 03:21:57.881366,8.0
267000,2670000000,34609398,11565752,0 days 03:22:36.964599,8.02
268000,2680000000,34725929,11580441,0 days 03:23:16.443305,8.03
269000,2690000000,34866132,11595983,0 days 03:24:01.487752,8.05
270000,2700000000,35018487,11611400,0 days 03:24:43.716353,8.07
271000,2710000000,35159241,11627024,0 days 03:25:25.873846,8.09
272000,2720000000,35285093,11642471,0 days 03:26:06.230321,8.11
273000,2730000000,35410300,11657434,0 days 03:26:45.432522,8.13
274000,2740000000,35519205,11672335,0 days 03:27:25.595882,8.14
275000,2750000000,35632639,11686899,0 days 03:28:08.181259,8.15
276000,2760000000,35742153,11701774,0 days 03:28:49.377150,8.17
277000,2770000000,35839335,11716257,0 days 03:29:28.341963,8.18
278000,2780000000,35937252,11730132,0 days 03:30:07.624290,8.19
279000,2790000000,36039044,11744588,0 days 03:30:46.837753,8.21
280000,2800000000,36172148,11759144,0 days 03:31:28.241134,8.23
281000,2810000000,36290239,11773603,0 days 03:32:13.685126,8.24
282000,2820000000,36413015,11788430,0 days 03:32:57.805915,8.26
283000,2830000000,36531951,11803373,0 days 03:33:40.862611,8.31
284000,2840000000,36658610,11818353,0 days 03:34:24.232113,8.29
285000,2850000000,36784619,11833413,0 days 03:35:07.515220,8.3
286000,2860000000,36908843,11847879,0 days 03:35:51.505332,8.32
287000,2870000000,37024809,11862603,0 days 03:36:33.333924,8.34
288000,2880000000,37141826,11877462,0 days 03:37:16.844260,8.35
289000,2890000000,37267374,11892415,0 days 03:38:00.392784,8.37
290000,2900000000,37404621,11907915,0 days 03:38:43.158924,8.39
291000,2910000000,37515633,11923033,0 days 03:39:24.877578,8.4
292000,2920000000,37626556,11938494,0 days 03:40:11.021943,8.42
293000,2930000000,37731140,11953423,0 days 03:40:53.188482,8.43
294000,2940000000,37853122,11968397,0 days 03:41:35.802029,8.45
295000,2950000000,37965731,11983390,0 days 03:42:18.065471,8.46
296000,2960000000,38074208,11998296,0 days 03:42:59.723299,8.48
297000,2970000000,38192031,12013257,0 days 03:43:43.814984,8.49
298000,2980000000,38327120,12028776,0 days 03:44:32.992107,8.51
299000,2990000000,38463612,12044131,0 days 03:45:18.621126,8.53
300000,3000000000,38591238,12059722,0 days 03:46:04.023408,8.54
301000,3010000000,38718220,12075131,0 days 03:46:49.873574,8.56
302000,3020000000,38837390,12090456,0 days 03:47:35.167195,8.57
303000,3030000000,38957485,12105269,0 days 03:48:21.651834,8.59
304000,3040000000,39077419,12120690,0 days 03:49:06.462823,8.61
305000,3050000000,39199422,12135757,0 days 03:49:52.055355,8.62
306000,3060000000,39323769,12150783,0 days 03:50:37.722165,8.64
307000,3070000000,39451761,12165902,0 days 03:51:24.840761,8.66
308000,3080000000,39576814,12181220,0 days 03:52:10.844788,8.67
309000,3090000000,39705144,12196087,0 days 03:52:55.951563,8.69
310000,3100000000,39832857,12211204,0 days 03:53:41.726636,8.71
311000,3110000000,39983956,12226596,0 days 03:54:27.655881,8.73
312000,3120000000,40143585,12241704,0 days 03:55:13.015761,8.75
313000,3130000000,40289743,12256676,0 days 03:55:58.983035,8.76
314000,3140000000,40458986,12271151,0 days 03:56:48.462355,8.78
315000,3150000000,40648356,12285461,0 days 03:57:39.110560,8.81
316000,3160000000,40809346,12297746,0 days 03:58:23.720223,8.83
317000,3170000000,40939926,12310669,0 days 03:59:09.177780,8.85
318000,3180000000,41078415,12322966,0 days 03:59:53.068734,8.87
319000,3190000000,41230715,12335262,0 days 04:00:40.076383,8.89
320000,3200000000,41342490,12347523,0 days 04:01:24.723275,8.9
321000,3210000000,41435240,12359045,0 days 04:02:07.894160,8.91
322000,3220000000,41545832,12370709,0 days 04:02:52.058988,8.93
323000,3230000000,41682370,12383013,0 days 04:03:37.701253,8.95
324000,3240000000,41821579,12395068,0 days 04:04:25.742540,8.96
325000,3250000000,41993343,12406957,0 days 04:05:16.542532,8.99
326000,3260000000,42154848,12419487,0 days 04:06:08.538036,9.01
327000,3270000000,42291784,12431496,0 days 04:06:54.753752,9.02
328000,3280000000,42415827,12443906,0 days 04:07:41.853435,9.04
329000,3290000000,42527383,12455719,0 days 04:08:28.747029,9.06
330000,3300000000,42616792,12466724,0 days 04:09:11.029487,9.07
331000,3310000000,42681150,12478166,0 days 04:09:54.567659,9.08
332000,3320000000,42741108,12489609,0 days 04:10:34.241332,9.08
333000,3330000000,42787378,12500125,0 days 04:11:12.376855,9.09
334000,3340000000,42855985,12511999,0 days 04:11:53.199985,9.1
335000,3350000000,42930154,12523906,0 days 04:12:36.908048,9.11
336000,3360000000,43002438,12535607,0 days 04:13:20.206753,9.12
337000,3370000000,43079529,12547690,0 days 04:14:04.007426,9.13
338000,3380000000,43155378,12560220,0 days 04:14:47.020764,9.17
339000,3390000000,43227941,12572436,0 days 04:15:31.118634,9.15
340000,3400000000,43309970,12585141,0 days 04:16:14.792047,9.16
341000,3410000000,43382569,12596977,0 days 04:16:59.606703,9.17
342000,3420000000,43451551,12608973,0 days 04:17:42.256252,9.18
343000,3430000000,43518292,12620726,0 days 04:18:23.247353,9.19
344000,3440000000,43594579,12633250,0 days 04:19:05.508320,9.2
345000,3450000000,43666455,12645280,0 days 04:19:48.204086,9.21
346000,3460000000,43740276,12657133,0 days 04:20:30.940602,9.22
347000,3470000000,43813255,12669468,0 days 04:21:12.091842,9.23
348000,3480000000,43877341,12680929,0 days 04:21:51.724606,9.23
349000,3490000000,43942808,12692207,0 days 04:22:32.026044,9.24
350000,3500000000,44017066,12704229,0 days 04:23:13.866464,9.25
351000,3510000000,44093214,12716609,0 days 04:23:55.453188,9.26
352000,3520000000,44163117,12728764,0 days 04:24:43.788560,9.27
353000,3530000000,44234974,12741091,0 days 04:25:27.929487,9.28
354000,3540000000,44305293,12753497,0 days 04:26:11.181467,9.29
355000,3550000000,44379949,12765596,0 days 04:26:52.586015,9.3
356000,3560000000,44456647,12777818,0 days 04:27:34.420371,9.31
357000,3570000000,44530310,12790209,0 days 04:28:16.883279,9.32
358000,3580000000,44593769,12802351,0 days 04:29:00.519258,9.33
359000,3590000000,44662093,12814690,0 days 04:29:42.206994,9.34
360000,3600000000,44720842,12826421,0 days 04:30:24.662395,9.35
361000,3610000000,44784199,12838445,0 days 04:31:07.650401,9.35
362000,3620000000,44845312,12851187,0 days 04:31:50.203879,9.36
363000,3630000000,44905025,12863286,0 days 04:32:32.498688,9.37
364000,3640000000,44966224,12875220,0 days 04:33:16.375453,9.38
365000,3650000000,45034101,12887260,0 days 04:33:59.065520,9.38
366000,3660000000,45095264,12899231,0 days 04:34:42.245630,9.4
367000,3670000000,45162682,12911063,0 days 04:35:26.413782,9.4
368000,3680000000,45235389,12923421,0 days 04:36:11.649336,9.41
369000,3690000000,45303928,12935473,0 days 04:36:57.321716,9.42
370000,3700000000,45370943,12947748,0 days 04:37:42.213139,9.43
371000,3710000000,45440630,12960371,0 days 04:38:27.870751,9.44
372000,3720000000,45508481,12973230,0 days 04:39:12.714750,9.45
373000,3730000000,45585433,12986411,0 days 04:39:57.892728,9.46
374000,3740000000,45665970,12999818,0 days 04:40:44.404850,9.47
375000,3750000000,45744480,13013261,0 days 04:41:30.392306,9.49
376000,3760000000,45824731,13027105,0 days 04:42:17.144344,9.49
377000,3770000000,45904071,13040929,0 days 04:43:04.581565,9.5
378000,3780000000,45982515,13053767,0 days 04:43:49.513792,9.51
379000,3790000000,46059618,13066434,0 days 04:44:34.998121,9.52
380000,3800000000,46135785,13079274,0 days 04:45:22.281511,9.53
381000,3810000000,46214879,13092946,0 days 04:46:10.976906,9.54
382000,3820000000,46294108,13107243,0 days 04:46:59.564020,9.55
383000,3830000000,46372584,13122295,0 days 04:47:50.805963,9.56
384000,3840000000,46462318,13137392,0 days 04:48:41.264632,9.57
385000,3850000000,46566087,13152973,0 days 04:49:33.699272,9.59
386000,3860000000,46665455,13169930,0 days 04:50:24.002625,9.6
387000,3870000000,46755278,13184633,0 days 04:51:11.437627,9.61
388000,3880000000,46842950,13200306,0 days 04:52:00.020919,9.63
389000,3890000000,46925692,13214273,0 days 04:52:50.459033,9.64
390000,3900000000,46990176,13228502,0 days 04:53:44.470360,9.64
391000,3910000000,47076549,13242913,0 days 04:54:34.902694,9.65
392000,3920000000,47160335,13257512,0 days 04:55:24.911407,9.66
393000,3930000000,47240164,13271891,0 days 04:56:12.459269,9.68
394000,3940000000,47313359,13286228,0 days 04:57:04.359387,9.69
395000,3950000000,47386728,13300683,0 days 04:57:53.840738,9.7
396000,3960000000,47469485,13315950,0 days 04:58:43.582654,9.71
397000,3970000000,47541714,13330766,0 days 04:59:33.407874,9.71
398000,3980000000,47621575,13344856,0 days 05:00:22.412948,9.72
399000,3990000000,47706371,13359391,0 days 05:01:15.438082,9.74
400000,4000000000,47839312,13374223,0 days 05:02:08.010515,9.76
401000,4010000000,47946463,13388722,0 days 05:03:00.195882,9.77
402000,4020000000,48039367,13403212,0 days 05:03:48.959899,9.78
403000,4030000000,48132770,13417391,0 days 05:04:37.710111,9.8
404000,4040000000,48232492,13431652,0 days 05:05:28.406180,9.81
405000,4050000000,48321764,13445748,0 days 05:06:18.430684,9.86
406000,4060000000,48428646,13459237,0 days 05:07:06.657229,9.83
407000,4070000000,48529530,13473054,0 days 05:07:56.305357,9.85
408000,4080000000,48632869,13486342,0 days 05:08:46.478280,9.86
409000,4090000000,48747207,13499770,0 days 05:09:37.574508,9.88
410000,4100000000,48885011,13513322,0 days 05:10:29.680505,9.89
411000,4110000000,49007220,13526452,0 days 05:11:19.723785,9.93
412000,4120000000,49135386,13540244,0 days 05:12:09.862053,9.93
413000,4130000000,49264258,13553396,0 days 05:12:58.812070,9.95
414000,4140000000,49376705,13566896,0 days 05:13:50.370300,9.96
415000,4150000000,49498375,13580327,0 days 05:14:40.941124,9.98
416000,4160000000,49628247,13593726,0 days 05:15:29.693264,9.99
417000,4170000000,49732224,13606928,0 days 05:16:21.170631,10.0
418000,4180000000,49841095,13620315,0 days 05:17:13.182797,10.02
419000,4190000000,49936422,13633767,0 days 05:18:04.999639,10.03
420000,4200000000,50027770,13647437,0 days 05:18:55.705932,10.04
421000,4210000000,50120693,13660795,0 days 05:19:46.592571,10.06
422000,4220000000,50220484,13674874,0 days 05:20:36.684827,10.07
423000,4230000000,50321061,13688153,0 days 05:21:26.932676,10.08
424000,4240000000,50411472,13701518,0 days 05:22:15.450046,10.09
425000,4250000000,50517036,13715772,0 days 05:23:06.260476,10.11
