chunk,rows_processed,n_blacklisted,n_skipped,max_block,processed_after,ram_usage_gb
224000,2240000000,53940484,15203365,12945657,0 days 04:21:55.773086,22.09
225000,2250000000,54120575,15275616,12958417,0 days 04:23:07.961995,22.13
226000,2260000000,54296037,15342517,12971105,0 days 04:24:18.168588,22.17
227000,2270000000,54483716,15406303,12984269,0 days 04:25:29.172117,22.2
228000,2280000000,54669373,15469629,12997545,0 days 04:26:42.073742,22.24
229000,2290000000,54871033,15530686,13010850,0 days 04:27:55.954410,22.28
230000,2300000000,55067583,15592991,13024796,0 days 04:29:11.135300,22.34
231000,2310000000,55264306,15651149,13038763,0 days 04:30:26.192299,22.36
232000,2320000000,55452440,15707346,13051705,0 days 04:31:40.261969,22.39
233000,2330000000,55646099,15763844,13064313,0 days 04:32:52.852907,22.44
234000,2340000000,55823153,15816976,13077172,0 days 04:34:04.971831,22.47
235000,2350000000,56024719,15886624,13090670,0 days 04:35:21.795942,22.51
236000,2360000000,56220873,15959149,13104884,0 days 04:36:37.675197,22.55
237000,2370000000,56412627,16033500,13119791,0 days 04:37:56.391137,22.59
238000,2380000000,56624793,16108954,13134690,0 days 04:39:15.589800,22.63
239000,2390000000,56872993,16185639,13150179,0 days 04:40:34.984186,22.68
240000,2400000000,57119953,16255966,13167113,0 days 04:41:55.070593,22.73
241000,2410000000,57352579,16328044,13182304,0 days 04:43:12.934421,22.77
242000,2420000000,57574350,16400792,13197877,0 days 04:44:29.148682,22.82
243000,2430000000,57779335,16459960,13211803,0 days 04:45:47.645783,22.86
244000,2440000000,57993639,16523541,13226277,0 days 04:47:07.024156,22.9
245000,2450000000,58205279,16584507,13240445,0 days 04:48:25.098564,22.95
246000,2460000000,58406324,16640161,13255295,0 days 04:49:42.967052,22.99
247000,2470000000,58595749,16697529,13269378,0 days 04:51:00.038559,23.03
248000,2480000000,58797172,16760706,13283776,0 days 04:52:16.746745,23.07
249000,2490000000,58990428,16815705,13298257,0 days 04:53:34.166071,23.11
250000,2500000000,59184035,16875575,13313495,0 days 04:54:53.323604,23.15
251000,2510000000,59369039,16937854,13328056,0 days 04:56:14.120314,23.18
252000,2520000000,59562158,16994726,13342515,0 days 04:57:33.125254,23.22
253000,2530000000,59756296,17055193,13357025,0 days 04:58:51.931109,23.26
254000,2540000000,60052682,17132752,13371778,0 days 05:00:16.446404,23.32
255000,2550000000,60329724,17197203,13386463,0 days 05:01:38.883616,23.37
256000,2560000000,60550721,17249958,13400981,0 days 05:02:56.584348,23.42
257000,2570000000,60773944,17311979,13415094,0 days 05:04:16.981485,23.46
258000,2580000000,61004693,17372709,13429210,0 days 05:05:35.113605,23.52
259000,2590000000,61217452,17423983,13443258,0 days 05:06:53.718385,23.55
260000,2600000000,61457925,17477653,13456956,0 days 05:08:13.386847,23.6
261000,2610000000,61708273,17531830,13470815,0 days 05:09:33.374380,23.65
262000,2620000000,61945410,17576651,13484203,0 days 05:10:54.222234,23.7
263000,2630000000,62224572,17634715,13497606,0 days 05:12:15.255687,23.75
264000,2640000000,62590768,17702132,13511164,0 days 05:13:35.814696,23.83
265000,2650000000,62942763,17764910,13524266,0 days 05:14:56.663675,23.9
266000,2660000000,63262436,17828002,13538095,0 days 05:16:20.325610,23.96
267000,2670000000,63597761,17893277,13551236,0 days 05:17:40.964430,24.02
268000,2680000000,63908263,17952798,13564814,0 days 05:19:01.835820,24.09
269000,2690000000,64207101,18006110,13577960,0 days 05:20:24.962359,24.15
270000,2700000000,64501627,18063317,13591630,0 days 05:21:44.919574,24.21
