chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
140000,1400000000,38591943,11845567,0 days 01:59:38.860525,5.88
141000,1410000000,38905411,11860088,0 days 02:00:13.079951,5.91
142000,1420000000,39237008,11875153,0 days 02:00:48.367752,5.94
143000,1430000000,39610096,11889915,0 days 02:01:23.600031,5.98
144000,1440000000,39997601,11905359,0 days 02:01:59.072780,6.01
145000,1450000000,40347259,11920581,0 days 02:02:34.360099,6.05
146000,1460000000,40681851,11935931,0 days 02:03:09.161609,6.08
147000,1470000000,40999757,11951004,0 days 02:03:43.680778,6.11
148000,1480000000,41316571,11965999,0 days 02:04:19.033032,6.15
149000,1490000000,41636999,11980825,0 days 02:04:53.593289,6.17
150000,1500000000,41930946,11995752,0 days 02:05:27.877684,6.21
151000,1510000000,42245944,12010697,0 days 02:06:03.200266,6.24
152000,1520000000,42614232,12026140,0 days 02:06:40.269590,6.27
153000,1530000000,42976526,12041576,0 days 02:07:17.110413,6.31
154000,1540000000,43337290,12057152,0 days 02:07:53.769628,6.34
155000,1550000000,43723941,12072595,0 days 02:08:30.752524,6.38
156000,1560000000,44057893,12088019,0 days 02:09:07.373363,6.41
157000,1570000000,44407169,12102967,0 days 02:09:43.333462,6.45
158000,1580000000,44750939,12118150,0 days 02:10:22.736682,7.83
159000,1590000000,45066593,12133353,0 days 02:10:58.000025,7.86
160000,1600000000,45428462,12148449,0 days 02:11:33.991492,7.9
161000,1610000000,45829741,12163370,0 days 02:12:10.616229,7.94
162000,1620000000,46155894,12178715,0 days 02:12:46.309643,7.97
163000,1630000000,46515541,12193681,0 days 02:13:21.941110,8.0
164000,1640000000,46863682,12208825,0 days 02:13:57.350150,8.04
165000,1650000000,47219501,12224045,0 days 02:14:33.182848,8.07
166000,1660000000,47624269,12239337,0 days 02:15:09.689386,8.11
167000,1670000000,48006816,12254210,0 days 02:15:45.273352,8.15
168000,1680000000,48473730,12268628,0 days 02:16:22.793673,8.19
169000,1690000000,49059444,12283378,0 days 02:17:02.278684,8.25
170000,1700000000,49490187,12295679,0 days 02:17:38.263118,8.29
171000,1710000000,49847527,12308595,0 days 02:18:14.028807,8.33
172000,1720000000,50189674,12320790,0 days 02:18:48.706968,8.36
173000,1730000000,50556678,12333142,0 days 02:19:23.756922,8.4
174000,1740000000,50865222,12345435,0 days 02:19:58.460082,8.43
175000,1750000000,51106402,12357251,0 days 02:20:33.121149,8.45
176000,1760000000,51383109,12368778,0 days 02:21:08.031955,8.48
177000,1770000000,51716531,12381045,0 days 02:21:43.982239,8.51
178000,1780000000,52076077,12393171,0 days 02:22:20.474179,8.55
179000,1790000000,52533505,12404884,0 days 02:22:59.818156,8.59
180000,1800000000,53042167,12417403,0 days 02:23:41.297452,8.64
181000,1810000000,53421517,12429474,0 days 02:24:22.293665,8.68
182000,1820000000,53787742,12441920,0 days 02:25:01.840789,8.71
183000,1830000000,54072501,12453779,0 days 02:25:37.719100,8.74
184000,1840000000,54344142,12465107,0 days 02:26:11.966088,8.77
185000,1850000000,54573946,12476139,0 days 02:26:45.723508,8.79
186000,1860000000,54781593,12487663,0 days 02:27:18.631918,8.81
187000,1870000000,54942880,12498313,0 days 02:27:49.825084,8.84
188000,1880000000,55151171,12510076,0 days 02:28:22.780190,8.85
