chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
191000,1910000000,78258310,10373871,0 days 02:08:40.897802,11.11
192000,1920000000,78579707,10395487,0 days 02:09:19.601105,11.14
193000,1930000000,78921392,10418472,0 days 02:09:59.512590,11.17
194000,1940000000,79290541,10440774,0 days 02:10:39.673900,11.21
195000,1950000000,79645157,10462136,0 days 02:11:18.438422,11.25
196000,1960000000,80006624,10484523,0 days 02:12:01.293812,11.28
197000,1970000000,80254658,10502415,0 days 02:12:37.654451,11.31
198000,1980000000,80541712,10520935,0 days 02:13:14.891464,11.33
199000,1990000000,80818997,10538098,0 days 02:13:51.849598,11.36
200000,2000000000,81157137,10556126,0 days 02:14:30.740495,11.39
201000,2010000000,81468080,10574140,0 days 02:15:09.261259,11.42
202000,2020000000,81791958,10592220,0 days 02:15:48.953177,11.45
203000,2030000000,82152181,10610997,0 days 02:16:28.179766,11.49
204000,2040000000,82453759,10628141,0 days 02:17:05.546627,11.52
205000,2050000000,82719053,10644061,0 days 02:17:41.398174,11.55
206000,2060000000,82947221,10659294,0 days 02:18:15.121072,11.57
207000,2070000000,83198114,10675551,0 days 02:18:51.292986,11.6
208000,2080000000,83447959,10691424,0 days 02:19:27.228118,11.62
209000,2090000000,83673447,10706274,0 days 02:20:04.687057,11.64
210000,2100000000,83898891,10722130,0 days 02:20:41.022294,11.66
211000,2110000000,84133457,10737902,0 days 02:21:15.720031,11.68
212000,2120000000,84349253,10753315,0 days 02:21:50.300663,11.71
213000,2130000000,84529477,10767487,0 days 02:22:22.517863,11.72
214000,2140000000,84723658,10781317,0 days 02:22:55.934024,11.74
215000,2150000000,84904107,10795413,0 days 02:23:28.660861,11.76
216000,2160000000,85060887,10809454,0 days 02:24:03.639915,11.78
217000,2170000000,85236590,10824217,0 days 02:24:36.504769,11.79
218000,2180000000,85394668,10838014,0 days 02:25:07.776486,11.81
219000,2190000000,85541334,10851602,0 days 02:25:38.231724,11.82
220000,2200000000,85685231,10865113,0 days 02:26:08.975766,11.84
221000,2210000000,85840367,10879339,0 days 02:26:40.394285,11.86
222000,2220000000,86046198,10893801,0 days 02:27:13.955375,11.88
223000,2230000000,86221653,10907374,0 days 02:27:45.676721,11.89
224000,2240000000,86397811,10921573,0 days 02:28:19.226186,11.91
225000,2250000000,86587197,10935849,0 days 02:28:51.125710,11.93
226000,2260000000,86750353,10950532,0 days 02:29:23.618566,11.94
227000,2270000000,86959867,10965804,0 days 02:29:56.368654,11.97
228000,2280000000,87130135,10980463,0 days 02:30:28.165953,11.98
229000,2290000000,87286674,10995335,0 days 02:31:00.639029,12.0
230000,2300000000,87454137,11009553,0 days 02:31:32.895721,12.02
231000,2310000000,87633695,11024372,0 days 02:32:07.023164,12.04
232000,2320000000,87837633,11040235,0 days 02:32:40.163121,12.05
233000,2330000000,88038579,11055759,0 days 02:33:13.664937,12.08
234000,2340000000,88322880,11071590,0 days 02:33:48.313214,12.1
235000,2350000000,88557161,11087473,0 days 02:34:20.714663,12.13
236000,2360000000,88790503,11102393,0 days 02:34:53.188889,12.15
237000,2370000000,89075707,11118002,0 days 02:35:26.379412,12.18
238000,2380000000,89302559,11133985,0 days 02:35:59.591271,12.2
239000,2390000000,89519039,11149205,0 days 02:36:41.724731,14.91
240000,2400000000,89757316,11164096,0 days 02:37:13.694928,14.93
241000,2410000000,90006060,11179742,0 days 02:37:46.791712,14.96
242000,2420000000,90248885,11195256,0 days 02:38:19.960081,14.98
243000,2430000000,90496599,11210349,0 days 02:38:53.261277,15.01
244000,2440000000,90757913,11226220,0 days 02:39:25.745807,15.03
