chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
131000,1310000000,14744461,11714001,0 days 02:15:43.555095,4.08
132000,1320000000,14838282,11727744,0 days 02:16:22.799259,4.09
133000,1330000000,14935533,11742134,0 days 02:17:03.035777,4.1
134000,1340000000,15062688,11756741,0 days 02:17:46.105387,4.12
135000,1350000000,15179313,11771328,0 days 02:18:29.412537,4.14
136000,1360000000,15296695,11785999,0 days 02:19:13.306842,4.15
137000,1370000000,15411142,11800853,0 days 02:19:56.826995,4.17
138000,1380000000,15527737,11815966,0 days 02:20:40.874043,4.23
139000,1390000000,15651155,11830991,0 days 02:21:25.230160,4.2
140000,1400000000,15774173,11845567,0 days 02:22:10.600588,4.22
141000,1410000000,15883712,11860088,0 days 02:22:52.928750,4.23
142000,1420000000,15999928,11875153,0 days 02:23:36.359732,4.24
143000,1430000000,16120443,11889915,0 days 02:24:19.762996,4.26
144000,1440000000,16255148,11905359,0 days 02:25:03.221380,4.28
145000,1450000000,16363329,11920581,0 days 02:25:46.416647,4.29
146000,1460000000,16475383,11935931,0 days 02:26:31.522631,4.31
147000,1470000000,16579725,11951004,0 days 02:27:14.533101,4.32
148000,1480000000,16698662,11965999,0 days 02:27:58.113490,4.33
149000,1490000000,16810648,11980825,0 days 02:28:41.173184,4.35
150000,1500000000,16920908,11995752,0 days 02:29:23.833832,4.37
151000,1510000000,17031149,12010697,0 days 02:30:09.662416,4.38
152000,1520000000,17163832,12026140,0 days 02:30:56.464098,4.4
153000,1530000000,17299935,12041576,0 days 02:31:42.659077,4.41
154000,1540000000,17426704,12057152,0 days 02:32:28.214990,4.43
155000,1550000000,17553702,12072595,0 days 02:33:13.805034,4.45
156000,1560000000,17668499,12088019,0 days 02:34:02.117306,4.46
157000,1570000000,17787642,12102967,0 days 02:34:47.637645,4.48
158000,1580000000,17906944,12118150,0 days 02:35:32.836854,4.49
159000,1590000000,18030409,12133353,0 days 02:36:17.407490,4.51
160000,1600000000,18157559,12148449,0 days 02:37:02.815524,4.55
161000,1610000000,18284096,12163370,0 days 02:37:49.908016,4.54
162000,1620000000,18403633,12178715,0 days 02:38:36.963598,4.56
163000,1630000000,18534622,12193681,0 days 02:39:23.297847,4.57
164000,1640000000,18662294,12208825,0 days 02:40:10.237695,4.59
165000,1650000000,18804465,12224045,0 days 02:40:56.101311,4.61
166000,1660000000,18962364,12239337,0 days 02:41:42.315383,4.63
167000,1670000000,19102205,12254210,0 days 02:42:30.421299,4.65
168000,1680000000,19264375,12268628,0 days 02:43:19.246082,4.67
169000,1690000000,19449404,12283378,0 days 02:44:10.199123,4.69
170000,1700000000,19615312,12295679,0 days 02:44:55.592735,4.72
171000,1710000000,19747245,12308595,0 days 02:45:41.249097,4.74
172000,1720000000,19888125,12320790,0 days 02:46:28.361692,4.75
173000,1730000000,20033799,12333142,0 days 02:47:14.053516,4.77
174000,1740000000,20156555,12345435,0 days 02:47:58.387916,4.79
175000,1750000000,20250196,12357251,0 days 02:48:42.634673,4.8
176000,1760000000,20350618,12368778,0 days 02:49:27.317178,4.81
177000,1770000000,20485942,12381045,0 days 02:50:13.239168,4.83
178000,1780000000,20614990,12393171,0 days 02:51:02.318453,4.85
179000,1790000000,20784222,12404884,0 days 02:51:52.925389,4.87
180000,1800000000,20942955,12417403,0 days 02:52:44.890855,4.89
181000,1810000000,21080066,12429474,0 days 02:53:32.185695,4.91
182000,1820000000,21205624,12441920,0 days 02:54:21.538135,4.93
183000,1830000000,21316638,12453779,0 days 02:55:07.843073,4.94
184000,1840000000,21408227,12465107,0 days 02:55:50.430205,4.95
185000,1850000000,21475782,12476139,0 days 02:56:32.342134,4.96
186000,1860000000,21536907,12487663,0 days 02:57:13.652724,4.97
187000,1870000000,21584467,12498313,0 days 02:57:52.825049,4.98
188000,1880000000,21651028,12510076,0 days 02:58:36.057896,4.99
189000,1890000000,21724407,12521974,0 days 02:59:19.364403,5.0
190000,1900000000,21798849,12533639,0 days 03:00:01.987252,5.0
191000,1910000000,21871992,12545662,0 days 03:00:45.230911,5.02
192000,1920000000,21948776,12558240,0 days 03:01:28.977932,5.03
193000,1930000000,22023643,12570327,0 days 03:02:12.701654,5.04
194000,1940000000,22101007,12583210,0 days 03:02:58.023624,5.05
195000,1950000000,22175921,12594972,0 days 03:03:39.578741,5.06
196000,1960000000,22243636,12607050,0 days 03:04:22.148311,5.06
197000,1970000000,22314307,12618727,0 days 03:05:03.383113,5.07
198000,1980000000,22387307,12631218,0 days 03:05:46.691517,5.08
199000,1990000000,22460277,12643199,0 days 03:06:31.077123,5.09
200000,2000000000,22538576,12655052,0 days 03:07:12.724895,5.1
201000,2010000000,22609949,12667355,0 days 03:07:54.272817,5.11
202000,2020000000,22676872,12679200,0 days 03:08:35.799930,5.12
203000,2030000000,22738831,12690261,0 days 03:09:16.933155,5.13
204000,2040000000,22812901,12702349,0 days 03:09:59.733142,5.14
205000,2050000000,22889940,12714458,0 days 03:10:43.637350,5.15
206000,2060000000,22958744,12726799,0 days 03:11:29.692277,5.16
207000,2070000000,23032683,12739142,0 days 03:12:14.949641,5.17
208000,2080000000,23103347,12751435,0 days 03:12:59.196187,5.18
209000,2090000000,23178085,12763581,0 days 03:13:41.615415,5.19
210000,2100000000,23253600,12775779,0 days 03:14:23.985318,5.2
211000,2110000000,23328787,12788125,0 days 03:15:08.794121,5.21
212000,2120000000,23392120,12800356,0 days 03:15:52.067982,5.21
213000,2130000000,23460752,12812694,0 days 03:16:34.982260,5.23
214000,2140000000,23520030,12824491,0 days 03:17:17.188673,5.23
215000,2150000000,23581758,12836451,0 days 03:17:59.869518,5.24
216000,2160000000,23644292,12849108,0 days 03:18:44.847308,5.25
217000,2170000000,23705877,12861384,0 days 03:19:29.371353,5.25
218000,2180000000,23765303,12873288,0 days 03:20:12.588960,5.26
219000,2190000000,23835702,12885395,0 days 03:20:55.582212,5.27
220000,2200000000,23901866,12897370,0 days 03:21:38.831510,5.28
221000,2210000000,23965924,12908820,0 days 03:22:21.915696,5.29
222000,2220000000,24038320,12921421,0 days 03:23:10.203006,5.3
223000,2230000000,24107598,12933463,0 days 03:23:54.484176,5.31
224000,2240000000,24175003,12945657,0 days 03:24:39.428973,5.32
225000,2250000000,24244438,12958417,0 days 03:25:24.842148,5.33
226000,2260000000,24311993,12971105,0 days 03:26:09.586010,5.34
227000,2270000000,24389341,12984269,0 days 03:26:56.793444,5.35
228000,2280000000,24468362,12997545,0 days 03:27:43.983075,5.36
229000,2290000000,24548424,13010850,0 days 03:28:30.233930,5.37
230000,2300000000,24629183,13024796,0 days 03:29:17.406535,5.38
231000,2310000000,24708770,13038763,0 days 03:30:04.789785,5.39
232000,2320000000,24789326,13051705,0 days 03:30:49.528491,5.4
233000,2330000000,24866499,13064313,0 days 03:31:36.957925,5.41
234000,2340000000,24941665,13077172,0 days 03:32:22.753895,5.42
235000,2350000000,25020821,13090670,0 days 03:33:10.962454,5.43
236000,2360000000,25098439,13104884,0 days 03:33:59.629954,5.44
237000,2370000000,25176000,13119791,0 days 03:34:50.178875,5.45
238000,2380000000,25265388,13134690,0 days 03:35:42.921176,5.46
239000,2390000000,25365447,13150179,0 days 03:36:34.601821,5.48
240000,2400000000,25467310,13167113,0 days 03:37:26.652523,5.49
241000,2410000000,25558301,13182304,0 days 03:38:15.801382,5.5
242000,2420000000,25644845,13197877,0 days 03:39:06.796648,5.51
243000,2430000000,25725227,13211803,0 days 03:39:58.623109,5.52
244000,2440000000,25795241,13226277,0 days 03:40:50.912481,5.53
245000,2450000000,25878939,13240445,0 days 03:41:41.491793,5.55
246000,2460000000,25962893,13255295,0 days 03:42:32.344083,5.55
247000,2470000000,26044499,13269378,0 days 03:43:22.890271,5.56
248000,2480000000,26119675,13283776,0 days 03:44:12.342632,5.57
249000,2490000000,26192749,13298257,0 days 03:45:05.193090,6.93
250000,2500000000,26274109,13313495,0 days 03:45:54.878468,6.94
251000,2510000000,26349754,13328056,0 days 03:46:44.612594,6.95
252000,2520000000,26427356,13342515,0 days 03:47:36.491201,6.96
253000,2530000000,26511585,13357025,0 days 03:48:27.114536,6.98
254000,2540000000,26636301,13371778,0 days 03:49:19.474816,6.99
255000,2550000000,26750283,13386463,0 days 03:50:11.666167,7.0
256000,2560000000,26842597,13400981,0 days 03:51:01.617633,7.02
257000,2570000000,26932321,13415094,0 days 03:51:52.469833,7.03
258000,2580000000,27033244,13429210,0 days 03:52:41.105527,7.04
259000,2590000000,27122938,13443258,0 days 03:53:30.733271,7.05
260000,2600000000,27227048,13456956,0 days 03:54:20.249890,7.07
261000,2610000000,27331335,13470815,0 days 03:55:10.753830,7.08
262000,2620000000,27431205,13484203,0 days 03:56:04.730203,7.09
263000,2630000000,27542402,13497606,0 days 03:56:55.984064,7.11
264000,2640000000,27676633,13511164,0 days 03:57:46.953670,7.13
265000,2650000000,27800685,13524266,0 days 03:58:37.825547,7.14
266000,2660000000,27923496,13538095,0 days 03:59:31.244042,7.16
267000,2670000000,28055334,13551236,0 days 04:00:21.962633,7.18
268000,2680000000,28170077,13564814,0 days 04:01:11.760926,7.19
269000,2690000000,28285687,13577960,0 days 04:02:02.576409,7.2
270000,2700000000,28420634,13591630,0 days 04:02:52.057269,7.22
271000,2710000000,28525941,13604657,0 days 04:03:45.159757,7.24
272000,2720000000,28632954,13617959,0 days 04:04:37.847359,7.25
273000,2730000000,28738290,13631587,0 days 04:05:27.531014,7.26
274000,2740000000,28821294,13645152,0 days 04:06:18.835772,7.27
275000,2750000000,28912998,13658647,0 days 04:07:09.549040,7.29
276000,2760000000,29011177,13672737,0 days 04:08:03.699310,7.3
277000,2770000000,29112090,13686046,0 days 04:08:53.531488,7.32
278000,2780000000,29204827,13699386,0 days 04:09:42.391048,7.33
279000,2790000000,29304298,13713503,0 days 04:10:32.820711,7.34
280000,2800000000,29416976,13728046,0 days 04:11:23.793764,7.35
281000,2810000000,29517047,13741490,0 days 04:12:14.434873,7.37
282000,2820000000,29593592,13755322,0 days 04:13:06.249363,7.38
283000,2830000000,29691548,13769338,0 days 04:13:55.857839,7.39
284000,2840000000,29785936,13782953,0 days 04:14:45.364891,7.4
285000,2850000000,29885796,13797573,0 days 04:15:38.427019,7.42
286000,2860000000,29990480,13812036,0 days 04:16:27.700849,7.43
287000,2870000000,30078362,13824930,0 days 04:17:15.940019,7.44
288000,2880000000,30162495,13838694,0 days 04:18:06.918970,7.48
289000,2890000000,30254763,13852472,0 days 04:18:56.409299,7.47
290000,2900000000,30342346,13866497,0 days 04:19:49.702448,7.48
291000,2910000000,30433172,13879364,0 days 04:20:38.364858,7.49
292000,2920000000,30537796,13892814,0 days 04:21:29.959367,7.5
293000,2930000000,30624380,13906898,0 days 04:22:20.955877,7.52
294000,2940000000,30716620,13920655,0 days 04:23:11.767253,7.52
295000,2950000000,30800634,13934768,0 days 04:24:05.596377,7.54
296000,2960000000,30893843,13948790,0 days 04:24:58.847409,7.55
297000,2970000000,30965662,13962784,0 days 04:25:51.522656,7.56
298000,2980000000,31036854,13977679,0 days 04:26:45.521852,7.57
299000,2990000000,31117791,13991343,0 days 04:27:35.293700,7.58
300000,3000000000,31207558,14006157,0 days 04:28:31.908787,7.59
301000,3010000000,31291795,14020447,0 days 04:29:27.572052,7.6
302000,3020000000,31372136,14034456,0 days 04:30:20.411440,7.61
303000,3030000000,31447977,14047982,0 days 04:31:10.999569,7.62
304000,3040000000,31515678,14060718,0 days 04:31:59.193479,7.63
305000,3050000000,31584466,14074054,0 days 04:32:48.575969,7.64
306000,3060000000,31657793,14088114,0 days 04:33:40.677042,7.67
307000,3070000000,31732851,14103069,0 days 04:34:33.459391,7.66
308000,3080000000,31807159,14117473,0 days 04:35:28.373943,7.67
309000,3090000000,31882568,14132089,0 days 04:36:25.565654,7.68
